id,code,number,name,parent_id/id,type,active
account_sat.account_sat_183,56,304-100-000,Otras Cuentas de Capital,account_sat.account_sat_170,view,True
account_sat.account_sat_184,56.1,304-100-001,Otras Cuentas de Capital,account_sat.account_sat_183,other,True
account_sat.account_sat_185,,400-000-000,Ingresos ,account_sat.account_sat_001,view,True
account_sat.account_sat_186,57,400-100-000,Ventas,account_sat.account_sat_185,view,True
account_sat.account_sat_187,57.1,400-100-001,Ventas Gravadas a Tasa general contado,account_sat.account_sat_186,other,True
account_sat.account_sat_188,57.2,400-100-002,Ventas Gravadas a Tasa general crédito,account_sat.account_sat_186,other,True
account_sat.account_sat_189,57.3,400-100-003,Ventas Gravadas al 0% contado,account_sat.account_sat_186,other,True
account_sat.account_sat_190,57.4,400-100-004,Ventas Gravadas al 0% crédito,account_sat.account_sat_186,other,True
account_sat.account_sat_191,57.5,400-100-005,Ventas Exentas contado,account_sat.account_sat_186,other,True
account_sat.account_sat_192,57.6,400-100-006,Ventas Exentas crédito,account_sat.account_sat_186,other,True
account_sat.account_sat_193,58,401-100-000,"Devoluciones, Descuentos y Rebajas Sobre Ventas13",account_sat.account_sat_185,view,True
account_sat.account_sat_194,58.1,401-100-001,"Devoluciones, Descuentos y Rebajas Sobre Ventas a tasa general",account_sat.account_sat_193,other,True
account_sat.account_sat_195,58.2,401-100-002,"Devoluciones, Descuentos y Rebajas Sobre Ventas al 0%",account_sat.account_sat_193,other,True
account_sat.account_sat_196,58.3,401-100-003,"Devoluciones, Descuentos y Rebajas Sobre Ventas exentas",account_sat.account_sat_193,other,True
account_sat.account_sat_197,59,402-100-000,Productos financieros,account_sat.account_sat_185,view,True
account_sat.account_sat_198,59.1,402-100-001,Productos financieros,account_sat.account_sat_197,other,True
account_sat.account_sat_199,60,403-100-000,Otros Ingresos,account_sat.account_sat_185,view,True
account_sat.account_sat_200,60.1,403-100-001,Otros Ingresos,account_sat.account_sat_199,other,True
account_sat.account_sat_201,,500-000-000,Costos ,account_sat.account_sat_001,view,True
account_sat.account_sat_202,61,500-100-000,Costo de Ventas,account_sat.account_sat_201,view,True
account_sat.account_sat_203,61.1,500-100-001,Costo de Ventas,account_sat.account_sat_202,other,True
account_sat.account_sat_204,62,501-100-000,Compras,account_sat.account_sat_201,view,True
account_sat.account_sat_205,62.1,501-100-001,Compras nacionales,account_sat.account_sat_204,other,True
account_sat.account_sat_206,62.2,501-100-002,Compras al extranjero,account_sat.account_sat_204,other,True
account_sat.account_sat_207,63,502-100-000,"Devoluciones, Descuentos y Rebajas Sobre Compras",account_sat.account_sat_201,view,True
account_sat.account_sat_208,63.1,502-100-001,"Devoluciones, Descuentos y Rebajas Sobre Compras",account_sat.account_sat_207,other,True
account_sat.account_sat_209,64,503-100-000,Otras cuentas de costos,account_sat.account_sat_201,view,True
account_sat.account_sat_210,64.1,503-100-001,Otras cuentas de costos,account_sat.account_sat_209,other,True
account_sat.account_sat_211,,600-000-000,Gastos ,account_sat.account_sat_001,view,True
account_sat.account_sat_212,65,600-100-000,Gastos Generales,account_sat.account_sat_211,view,True
account_sat.account_sat_213,65.1,600-100-001,Gastos Generales,account_sat.account_sat_212,other,True
account_sat.account_sat_214,65.2,600-100-002,Combustibles y lubricantes,account_sat.account_sat_212,other,True
account_sat.account_sat_215,65.3,600-100-003,Correos,account_sat.account_sat_212,other,True
account_sat.account_sat_216,65.4,600-100-004,Internet,account_sat.account_sat_212,other,True
account_sat.account_sat_217,65.5,600-100-005,Viáticos y gastos de viaje,account_sat.account_sat_212,other,True
account_sat.account_sat_218,65.6,600-100-006,Gastos de representación,account_sat.account_sat_212,other,True
account_sat.account_sat_219,65.7,600-100-007,Teléfono,account_sat.account_sat_212,other,True
account_sat.account_sat_220,65.8,600-100-008,Agua,account_sat.account_sat_212,other,True
account_sat.account_sat_221,65.9,600-100-009,Electricidad,account_sat.account_sat_212,other,True
account_sat.account_sat_222,65.10,600-100-010,Vigilancia y limpieza,account_sat.account_sat_212,other,True
account_sat.account_sat_223,65.11,600-100-011,Materiales de oficina,account_sat.account_sat_212,other,True
account_sat.account_sat_224,65.12,600-100-012,Gastos legales,account_sat.account_sat_212,other,True
account_sat.account_sat_225,65.13,600-100-013,Mantenimiento y conservación,account_sat.account_sat_212,other,True
