id,code,number,name,parent_id/id,type,nature,active
acc_sat.account_sat_v2_234,186.06,186-100-006,Intereses por cobrar a largo plazo extranjero,acc_sat.account_sat_v2_228,other,D,True
acc_sat.account_sat_v2_235,186.07,186-100-007,Intereses por cobrar a largo plazo nacional parte relacionada,acc_sat.account_sat_v2_228,other,D,True
acc_sat.account_sat_v2_236,186.08,186-100-008,Intereses por cobrar a largo plazo extranjero parte relacionada,acc_sat.account_sat_v2_228,other,D,True
acc_sat.account_sat_v2_237,186.09,186-100-009,Otras cuentas y documentos por cobrar a largo plazo,acc_sat.account_sat_v2_228,other,D,True
acc_sat.account_sat_v2_238,186.10,186-100-010,Otras cuentas y documentos por cobrar a largo plazo parte relacionada,acc_sat.account_sat_v2_228,other,D,True
acc_sat.account_sat_v2_239,187,187-000-000,Participacion de los trabajadores en las utilidades diferidas,acc_sat.account_sat_v2_112,view,D,True
acc_sat.account_sat_v2_240,187.01,187-100-001,Participacion de los trabajadores en las utilidades diferidas,acc_sat.account_sat_v2_239,other,D,True
acc_sat.account_sat_v2_241,188,188-000-000,Inversiones permanentes en acciones,acc_sat.account_sat_v2_112,view,D,True
acc_sat.account_sat_v2_242,188.01,188-100-001,Inversiones a largo plazo en subsidiarias,acc_sat.account_sat_v2_241,other,D,True
acc_sat.account_sat_v2_243,188.02,188-100-002,Inversiones a largo plazo en asociadas,acc_sat.account_sat_v2_241,other,D,True
acc_sat.account_sat_v2_244,188.03,188-100-003,Otras inversiones permanentes en acciones,acc_sat.account_sat_v2_241,other,D,True
acc_sat.account_sat_v2_245,189,189-000-000,Estimacion por deterioro de inversiones permanentes en acciones,acc_sat.account_sat_v2_112,view,D,True
acc_sat.account_sat_v2_246,189.01,189-100-001,Estimacion por deterioro de inversiones permanentes en acciones,acc_sat.account_sat_v2_245,other,D,True
acc_sat.account_sat_v2_247,190,190-000-000,Otros instrumentos financieros,acc_sat.account_sat_v2_112,view,D,True
acc_sat.account_sat_v2_248,190.01,190-100-001,Otros instrumentos financieros,acc_sat.account_sat_v2_247,other,D,True
acc_sat.account_sat_v2_249,191,191-000-000,Otros activos a largo plazo,acc_sat.account_sat_v2_112,view,D,True
acc_sat.account_sat_v2_250,191.01,191-100-001,Otros activos a largo plazo,acc_sat.account_sat_v2_249,other,D,True
acc_sat.account_sat_v2_251,200,000-000-002,Pasivo ,acc_sat.account_sat_v2_001,view,A,True
acc_sat.account_sat_v2_252,200.01,000-200-000,Pasivo a corto plazo,acc_sat.account_sat_v2_251,view,A,True
